path,prediction,confidence,p_American Robin,p_Northern Cardinal,p_Song Sparrow,expected,correct
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_008.npy,Northern Cardinal,0.9633951187133789,0.0124190803617239,0.9633951187133789,0.024185819551348686,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_009.npy,Northern Cardinal,0.9882886409759521,0.004850597120821476,0.9882886409759521,0.006860687863081694,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_010.npy,Northern Cardinal,0.5925691723823547,0.09083700180053711,0.5925691723823547,0.31659382581710815,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_011.npy,Northern Cardinal,0.9729549288749695,0.010315698571503162,0.9729549288749695,0.016729410737752914,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_012.npy,Northern Cardinal,0.9902029037475586,0.004823774099349976,0.9902029037475586,0.004973320290446281,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_013.npy,Northern Cardinal,0.9614605903625488,0.023770587518811226,0.9614605903625488,0.014768829569220543,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_014.npy,Northern Cardinal,0.9577032327651978,0.022889340296387672,0.9577032327651978,0.019407443702220917,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\northern_cardinal\vae_v3_northern_cardinal_015.npy,Northern Cardinal,0.699310839176178,0.11355431377887726,0.699310839176178,0.18713490664958954,Northern Cardinal,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_000.npy,Song Sparrow,0.9468991756439209,0.01991063356399536,0.03319022059440613,0.9468991756439209,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_001.npy,Song Sparrow,0.9472004771232605,0.015740612521767616,0.03705897554755211,0.9472004771232605,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_002.npy,Song Sparrow,0.9711756110191345,0.014090352691709995,0.01473393477499485,0.9711756110191345,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_003.npy,Song Sparrow,0.9237322211265564,0.02332877181470394,0.05293896421790123,0.9237322211265564,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_004.npy,Song Sparrow,0.9649080038070679,0.008771801367402077,0.026320302858948708,0.9649080038070679,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_005.npy,Song Sparrow,0.9797484278678894,0.013682838529348373,0.006568752229213715,0.9797484278678894,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_006.npy,Song Sparrow,0.9813894629478455,0.009765085764229298,0.00884543638676405,0.9813894629478455,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_007.npy,Song Sparrow,0.9766448736190796,0.006705190055072308,0.016649944707751274,0.9766448736190796,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_008.npy,Song Sparrow,0.5335053205490112,0.22341129183769226,0.24308337271213531,0.5335053205490112,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_009.npy,Song Sparrow,0.9671101570129395,0.024822287261486053,0.0080675408244133,0.9671101570129395,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_010.npy,Song Sparrow,0.8098291754722595,0.09924090653657913,0.09092996269464493,0.8098291754722595,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_011.npy,Song Sparrow,0.9752875566482544,0.005750567652285099,0.018961874768137932,0.9752875566482544,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_012.npy,Song Sparrow,0.8886942267417908,0.013089688494801521,0.09821607172489166,0.8886942267417908,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_013.npy,Song Sparrow,0.9725550413131714,0.008209454827010632,0.01923552341759205,0.9725550413131714,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_014.npy,Song Sparrow,0.9438464641571045,0.014225856401026249,0.04192766174674034,0.9438464641571045,Song Sparrow,True
outputs\conditional_vae_v3\classifier_input\song_sparrow\vae_v3_song_sparrow_015.npy,Song Sparrow,0.9843506813049316,0.005776352249085903,0.009872988797724247,0.9843506813049316,Song Sparrow,True
